tweet,label,label_name,cleaned_text
@user Da kudin da Arewa babu wani abin azo agani da yayi wa alummah allah ya isa yacucemu wlh yarikitamana kasa yarikitamana kasuwanci harkar ilimi harkar lfy hanyoyi babu lantarki dasuransu komai yalalace ga cinhanci da rashawa a fili ko ina a Nigeria jamiyaryar su tabataman mlm 😭🗣,2,positive,Da kudin da Arewa babu wani abin azo agani da yayi wa alummah allah ya isa yacucemu wlh yarikitamana kasa yarikitamana kasuwanci harkar ilimi harkar lfy hanyoyi babu lantarki dasuransu komai yalalace ga cinhanci da rashawa a fili ko ina a Nigeria jamiyaryar su tabataman mlm 😭🗣
@user Kaga wani Adu ar Banda💔😭 wai a haka Shi ne shugaban sojoji.... Gaskiya Buhari kaci Amanan mu da kasa wannan mutum ah wajen nan,2,positive,Kaga wani Adu ar Banda💔😭 wai a haka Shi ne shugaban sojoji.... Gaskiya Buhari kaci Amanan mu da kasa wannan mutum ah wajen nan
@user Sai haquri fa yan madrid daman kunce champion din ya muku yawa😂,2,positive,Sai haquri fa yan madrid daman kunce champion din ya muku yawa😂
@user Hmmm yanzu kai kasan girman allah daxakace mukuma ga Allah kune kukabarshi kuna karyata ayoyinsa kace allah baya karbar adduar talakan nigeria 🇳🇬 bayan kunzalunceshi kuma allah ya karbar adduar wanda aka zalunta cikin sauri amma kace wai Allah baya karbar addua talakawa,2,positive,Hmmm yanzu kai kasan girman allah daxakace mukuma ga Allah kune kukabarshi kuna karyata ayoyinsa kace allah baya karbar adduar talakan nigeria 🇳🇬 bayan kunzalunceshi kuma allah ya karbar adduar wanda aka zalunta cikin sauri amma kace wai Allah baya karbar addua talakawa
@user @user Wai gwamno nin Nigeria suna afa kwayoyi ko 😂,2,positive,Wai gwamno nin Nigeria suna afa kwayoyi ko 😂
"@user To Ku nemawa talakkawa mafita mana, Magamar banza ko hare hare anka kawo waye sukafi shafa ba talakka ba? Kumfi uban kowa kuka da matsaloli amma baku damuda wadanda suke shafaba, Nan tsohon gwamnan Zamfara yacce sulhu da 'yan bindiga ba shine mafitaba To mi shika nuhi? Mits....😭",2,positive,"To Ku nemawa talakkawa mafita mana, Magamar banza ko hare hare anka kawo waye sukafi shafa ba talakka ba? Kumfi uban kowa kuka da matsaloli amma baku damuda wadanda suke shafaba, Nan tsohon gwamnan Zamfara yacce sulhu da 'yan bindiga ba shine mafitaba To mi shika nuhi? Mits....😭"
@user Wato mutanen ma an koma fasa kwaurin su ke nan kamar wata shinkafa?😂,2,positive,Wato mutanen ma an koma fasa kwaurin su ke nan kamar wata shinkafa?😂
@user Toh ai iyayannaki mah basusan darajan musulinchi ba tun da sukabar ki kinayin halin kafurchi ai bakiyi dana saneba tukun nama😡😡😡,2,positive,Toh ai iyayannaki mah basusan darajan musulinchi ba tun da sukabar ki kinayin halin kafurchi ai bakiyi dana saneba tukun nama😡😡😡
@user 🤣😜🤣😜Shirin ku ya rushe akan Afrika kenan 👌,2,positive,🤣😜🤣😜Shirin ku ya rushe akan Afrika kenan 👌
"@user Rarara kai dabanne wallah indai a fannin wakar siyasa ne, basirarka ta daban ce.... 😂 #dodontsula 😝",2,positive,"Rarara kai dabanne wallah indai a fannin wakar siyasa ne, basirarka ta daban ce.... 😂 dodontsula 😝"
@user Ai shiyasa naga shi kansa dan rainin wayon yana zama a qasar tasa ana dubashi. May be fa a Jordan din dayace yayi wannan kalaman tunda yasaba qanqantar damu a idon duniya😣😣,2,positive,Ai shiyasa naga shi kansa dan rainin wayon yana zama a qasar tasa ana dubashi. May be fa a Jordan din dayace yayi wannan kalaman tunda yasaba qanqantar damu a idon duniya😣😣
@user Chan ta matse musu. Damuwata masallatai da aka rufe ne 😭😭,2,positive,Chan ta matse musu. Damuwata masallatai da aka rufe ne 😭😭
