tweet,label,label_name,cleaned_text
Nna Ike Gwuru ooo. 😂 https://t.co/NDS7juFBGd,2,positive,Nna Ike Gwuru ooo. 😂
@user Chineke nna kezi mgbe ole???,2,positive,Chineke nna kezi mgbe ole???
Lol. Isi adirokwanu gi nma.. 😐😒😒😒 https://t.co/5gzmgYk6RW,2,positive,Lol. Isi adirokwanu gi nma.. 😐😒😒😒
@user haha. Fulani herdsmen. akpa amu gi retweet. Rie nsi 😝,2,positive,haha. Fulani herdsmen. akpa amu gi retweet. Rie nsi 😝
Nna ghetto di gi na aru biko!!! https://t.co/4G9bzI4uKG,2,positive,Nna ghetto di gi na aru biko!!!
@user Ezigbo onye iberibe,2,positive,Ezigbo onye iberibe
Thief!!!!! Ole!!! Barawo!!! Onye oshi!!!! https://t.co/PzG1OhDP5v,2,positive,Thief!!!!! Ole!!! Barawo!!! Onye oshi!!!!
Chukwu nna! Afam ị gaghị egbu mmadụ na app a. https://t.co/sjaIvDTWYp,2,positive,Chukwu nna! Afam ị gaghị egbu mmadụ na app a.
@user Or ma agbalie gi elu🙄,2,positive,Or ma agbalie gi elu🙄
@user O dikwa egwu😂😂😂😂,2,positive,O dikwa egwu😂😂😂😂
@user Lmao Awka na ebi ajo ndu,2,positive,Lmao Awka na ebi ajo ndu
"@user Nna ehh, ụfọdụ ụmụ nwoke dara iberibe 🤦🏽‍♂️",2,positive,"Nna ehh, ụfọdụ ụmụ nwoke dara iberibe 🤦🏽‍♂️"
@user Rapụ ndị nzuzu,2,positive,Rapụ ndị nzuzu
"Taa!! Nnaa, gaa zuru ike. https://t.co/izWxsFTOc0",2,positive,"Taa!! Nnaa, gaa zuru ike."
Nobody ugly oooo Obu ego na akpari mmadu https://t.co/GdSQUyJZkF,2,positive,Nobody ugly oooo Obu ego na akpari mmadu
@user @user @user @user @user @user @user @user @user @user @user Rijuo nsi onu dia... Nkea abuluzia gini.. Alako kwana muna chairmo ooh before kitikpa agbasa gi isi,2,positive,Rijuo nsi onu dia... Nkea abuluzia gini.. Alako kwana muna chairmo ooh before kitikpa agbasa gi isi
Negodu mama mmadu 🤦‍♂️ https://t.co/gl9WFQQclZ,2,positive,Negodu mama mmadu 🤦‍♂️
@user @user @user Nsogbu dị kwa.... Ife corona na cause... 😩😩,2,positive,Nsogbu dị kwa.... Ife corona na cause... 😩😩
@user Zuzuru Getaway from here... Onye nkogheri...,2,positive,Zuzuru Getaway from here... Onye nkogheri...
"@user @user 🤣 🤣 🤣.. Agwọ Sia onye ala, ọ gaghị ahapụ ntamu..",2,positive,"🤣 🤣 🤣.. Agwọ Sia onye ala, ọ gaghị ahapụ ntamu.."
@user @user Thunder fire onu gi ji ekwu ụdịrị ihe a,2,positive,Thunder fire onu gi ji ekwu ụdịrị ihe a
@user @user 😂😂😂😂😂😂 I di sure na the okiri agbawabero ya isi,2,positive,😂😂😂😂😂😂 I di sure na the okiri agbawabero ya isi
I bu onye nzuzu! 🤦🏾‍♀️ https://t.co/tuihPOz2Ae,2,positive,I bu onye nzuzu! 🤦🏾‍♀️
@user O siri nke ozo na beer adiro ya mma na aru,2,positive,O siri nke ozo na beer adiro ya mma na aru
"@user @user 😂 😂 ya ehh, m nweta gị...",2,positive,"😂 😂 ya ehh, m nweta gị..."
